,Earnings,Cycles,Length of Split
0,45402.52952499994,1728.9344604033022,10
1,56435.88907499994,1863.4885187637954,11
2,69257.51039999982,1823.4038316769547,12
3,70289.80475000002,1941.7607319722574,13
4,74713.11322499995,1913.1227711409938,14
5,81050.53415000018,1929.3506959906777,15
6,52103.955574999956,1915.9864745153293,16
7,89347.91410000004,1924.5777082447219,17
8,90460.01617499985,1869.2152320868288,18
9,95073.79654999987,1885.4413671839854,19
10,98353.55987500004,1831.038699049006,20
11,101659.52887499974,1864.4429652640329,21
12,101784.57109999991,1804.317303694222,22
13,103813.08252499985,1776.6434630325373,23
14,130153.67819999997,1935.0783568297625,24
15,104024.07762499999,1716.5310558175574,25
16,107561.05415000003,1675.5071614689957,26
17,106589.28392499997,1648.7961991433003,27
18,107444.43127500004,1599.1948774721932,28
19,108204.48862500003,1574.396532268335,29
20,106489.865275,1533.3872712602476,30
21,107739.12779999989,1510.5002165179444,31
22,91087.03115000013,1427.5456600236646,32
23,105708.93974999998,1439.9400712490437,33
24,107588.62230000005,1398.9446434878676,34
25,106572.5032000001,1375.1120306140342,35
26,107138.00109999994,1330.3105754091077,36
27,105349.0792500001,1312.2007778035158,37
28,105162.21537499977,1274.0775767093494,38
29,104269.06527500003,1253.1113697274227,39
30,104791.28419999998,1226.4287005773922,40
31,104266.58582500005,1193.0778746232365,41
32,107286.69172499997,1170.2103486653582,42
33,103361.44884999977,1141.6277848793377,43
34,102773.29032499983,1120.6685398101338,44
35,102205.73410000006,1097.8051647905093,45
36,101045.59380000003,1067.3227030523844,46
37,103409.5761999999,1056.8448947517818,47
38,119727.45174999995,1041.6049375397356,48
